created_at,entry_id,field1,field2,field3,field4
2018-11-06 17:53:46 UTC,291413,0,35.8,27.062,24.5
2018-11-06 17:54:16 UTC,291414,0,35.8,27.062,24.5
2018-11-06 17:54:31 UTC,291415,0,36.3,27.062,24.5
2018-11-06 17:55:02 UTC,291416,0,36.9,27.125,24.5
2018-11-06 17:55:32 UTC,291417,0,35.8,27.125,24.5
2018-11-06 17:55:49 UTC,291418,0,35.8,27.125,24.5
2018-11-06 17:56:19 UTC,291419,0,35.8,27.187,24.5
2018-11-06 17:56:49 UTC,291420,0,35.8,27.187,24.5
2018-11-06 17:57:17 UTC,291421,0,35.8,27.187,24.5
2018-11-06 17:57:48 UTC,291422,0,35.8,27.25,24.5
2018-11-06 17:58:19 UTC,291423,0,35.8,27.25,24.5
2018-11-06 17:58:48 UTC,291424,0,35.8,27.25,24.562
2018-11-06 17:59:16 UTC,291425,0,36.3,27.312,24.5
2018-11-06 17:59:48 UTC,291426,0,36.3,27.375,24.5
2018-11-06 18:00:18 UTC,291427,0,35.8,27.375,24.5
2018-11-06 18:00:48 UTC,291428,0,35.8,27.375,24.562
2018-11-06 18:01:07 UTC,291429,0,36.3,27.375,24.5
2018-11-06 18:01:31 UTC,291430,0,35.8,27.312,24.562
2018-11-06 18:02:03 UTC,291431,0,36.3,27.25,24.562
2018-11-06 18:02:39 UTC,291432,0,35.8,27.25,24.562
2018-11-06 18:03:01 UTC,291433,0,35.8,27.25,24.562
2018-11-06 18:03:19 UTC,291434,0,35.8,27.25,24.562
2018-11-06 18:03:49 UTC,291435,0,35.2,27.312,24.562
2018-11-06 18:04:17 UTC,291436,0,36.3,27.312,24.562
2018-11-06 18:04:50 UTC,291437,0,36.3,27.312,24.562
2018-11-06 18:05:17 UTC,291438,0,35.8,27.375,24.562
2018-11-06 18:05:33 UTC,291439,0,35.8,27.312,24.562
2018-11-06 18:05:49 UTC,291440,0,35.8,27.312,24.562
2018-11-06 18:06:21 UTC,291441,0,35.8,27.25,24.562
2018-11-06 18:06:49 UTC,291442,0,35.8,27.25,24.562
2018-11-06 18:07:18 UTC,291443,0,35.8,27.312,24.562
2018-11-06 18:07:49 UTC,291444,0,35.8,27.312,24.562
2018-11-06 18:08:17 UTC,291445,0,35.8,27.312,24.562
2018-11-06 18:08:33 UTC,291446,0,35.8,27.312,24.562
2018-11-06 18:08:50 UTC,291447,0,35.8,27.312,24.562
2018-11-06 18:09:17 UTC,291448,0,36.9,27.25,24.562
2018-11-06 18:09:35 UTC,291449,0,35.8,27.25,24.562
2018-11-06 18:10:03 UTC,291450,0,35.8,27.375,24.562
2018-11-06 18:10:32 UTC,291451,0,36.3,27.437,24.562
2018-11-06 18:11:04 UTC,291452,0,35.8,27.5,24.562
2018-11-06 18:11:31 UTC,291453,0,36.3,27.5,24.562
2018-11-06 18:11:48 UTC,291454,0,36.3,27.5,24.562
2018-11-06 18:12:18 UTC,291455,0,35.8,27.5,24.625
2018-11-06 18:12:46 UTC,291456,0,36.3,27.5,24.625
2018-11-06 18:13:02 UTC,291457,0,35.8,27.5,24.625
2018-11-06 18:13:31 UTC,291458,0,35.8,27.5,24.625
2018-11-06 18:13:49 UTC,291459,0,35.8,27.5,24.562
2018-11-06 18:14:17 UTC,291460,0,35.8,27.5,24.562
2018-11-06 18:14:33 UTC,291461,0,35.8,27.5,24.562
2018-11-06 18:15:02 UTC,291462,0,36.9,27.437,24.562
2018-11-06 18:15:31 UTC,291463,0,36.3,27.5,24.562
2018-11-06 18:15:49 UTC,291464,0,36.3,27.5,24.625
2018-11-06 18:16:19 UTC,291465,0,36.9,27.5,24.562
2018-11-06 18:16:48 UTC,291466,0,36.9,27.5,24.625
2018-11-06 18:17:17 UTC,291467,0,36.9,27.5,24.625
2018-11-06 18:17:33 UTC,291468,0,36.9,27.5,24.625
2018-11-06 18:17:48 UTC,291469,0,36.3,27.562,24.625
2018-11-06 18:18:17 UTC,291470,0,36.9,27.562,24.625
2018-11-06 18:18:33 UTC,291471,0,37.4,27.562,24.625
2018-11-06 18:19:03 UTC,291472,0,36.3,27.625,24.625
2018-11-06 18:19:18 UTC,291473,0,36.3,27.625,24.625
2018-11-06 18:19:49 UTC,291474,0,36.3,27.687,24.625
2018-11-06 18:20:18 UTC,291475,0,36.9,27.687,24.625
2018-11-06 18:20:48 UTC,291476,0,36.9,27.75,24.625
2018-11-06 18:21:18 UTC,291477,0,36.9,27.75,24.625
2018-11-06 18:21:46 UTC,291478,0,36.9,27.75,24.625
2018-11-06 18:22:01 UTC,291479,0,36.9,27.75,24.625
2018-11-06 18:22:17 UTC,291480,0,36.3,27.75,24.625
